logFC	logCPM	PValue	FDR
YPK_0162	-3.65350133014206	9.91077888053502	1.02912111366629e-13	3.43314803519073e-10
YPK_4227	-2.38204849531848	10.1332958659643	7.5314991540212e-11	9.51177898525572e-08
YPK_0026	-4.1492174622262	9.12237762444939	8.55375808026593e-11	9.51177898525572e-08
YPK_2565	3.02409538613007	9.59152116640905	3.06173383463003e-09	2.55348601808144e-06
YPK_2649	-2.2438571753889	12.0928797370074	1.15431683131908e-08	7.70160189856091e-06
YPK_2848	2.7448490770318	9.00040484515213	5.99923650180127e-07	0.000333557549500151
YPK_2630	-1.0856104974469	13.3097956691593	7.37799769447842e-07	0.000351614290125429
YPK_1133	-1.01448600460934	14.5760054643923	1.20297309592879e-06	0.000485663675463552
YPK_0289	-1.69043471575056	10.5706765015268	1.31024372876858e-06	0.000485663675463552
YPK_3363	-2.83351950665136	8.77259371685822	2.27562759233903e-06	0.000759149364804299
YPK_0341	-1.46230012021504	11.5487968868811	2.75163046076875e-06	0.000834494474284051
YPK_2381	-2.33639626133956	9.67820225590261	8.84633161499434e-06	0.00245928018896843
YPK_0336	-1.40855517820348	10.6130484775429	1.09157997579805e-05	0.00269488311983537
YPK_2694	3.37597878037495	8.37356855725986	1.13094615340813e-05	0.00269488311983537
YPK_1159	4.01283843180068	8.42465391360244	2.55288388221146e-05	0.00562362122668048
YPK_4224	-1.38956642848909	12.0188720352925	2.69718044445107e-05	0.00562362122668048
YPK_0337	-1.29547227280299	11.0071593621593	7.52770496501721e-05	0.0137033660130303
YPK_0286	-1.3737162793238	10.6392540586595	7.78624571005056e-05	0.0137033660130303
YPK_3691	1.49482859403759	9.86674554836105	7.80467488751727e-05	0.0137033660130303
YPK_4226	-1.05950295525336	12.0351040609145	9.65641738777173e-05	0.0161069042028033
YPK_3067	2.24530726739775	8.77504995178686	0.000109355330592829	0.017213713088397
YPK_1681	-2.07648407944274	9.78161222247904	0.000113519690630915	0.017213713088397
YPK_1823	-1.15611226844951	10.5848268215865	0.000121938274780867	0.0176863515073466
YPK_4225	-1.00679594541662	11.7158350287564	0.000142351260360614	0.0195312678574071
YPK_0298	-1.67695457896143	9.29782471383558	0.000146367414998554	0.0195312678574071
YPK_3279	5.99205706873598	7.7408221149167	0.000159523158656886	0.0204680483568989
YPK_1067	-1.49043609502225	10.5069364906662	0.000193959486527017	0.0239647721131159
YPK_3949	5.63905126911227	7.51225804992536	0.000223577360448599	0.0266376455163045
YPK_4106	2.52954370951495	8.80508508478533	0.000258287330149425	0.0288828181497229
YPK_0278	-0.823325613788997	13.2699711241152	0.000264891121708179	0.0288828181497229
YPK_2477	5.8186574128343	7.6273516804195	0.000269045711634192	0.0288828181497229
YPK_1155	5.7001768069302	7.55088997996421	0.000277053411508134	0.0288828181497229
YPK_1486	-2.4399810158196	8.48689678469812	0.000350775408653797	0.0354602049475475
YPK_3625	-1.77447802575897	8.92384755520113	0.000484457508581526	0.0475338308419991
YPK_1533	-3.76768013661435	7.87521733639377	0.000618244713229579	0.0589275532381108
YPK_1138	-1.04566630673068	10.497716934799	0.000663317348073938	0.0614674075881849
YPK_2739	1.50769366754393	10.1053201309409	0.000728442031658484	0.0645999898947374
