control_mean	treat_mean	M	D	prob	ranking
YPK_0001	3.78259023573223	8.09842003399259	-1.09826597289287	4.31582979826036	0.475319744204636	-4.45337793082581
YPK_0002	10.7130645629074	7.68679201685198	0.478917695468213	3.0262725460554	0.3146482813749	3.06393336775479
YPK_0003	0.428909228599672	2.00901405875949	-2.22774339677468	1.58010483015982	0.359162669864109	-2.73122168931187
YPK_0004	32.2019385150566	27.0621361290236	0.250871817490826	5.13980238603303	0.220073940847322	5.14592122328762
YPK_0005	1.26565383839038	2.27201907679126	-0.844092072745891	1.00636523840088	0.31509792166267	-1.31349245157105
YPK_0006	0.771451681189757	0.61532795220072	0.326220267788319	0.156123728989037	0.161570743405276	0.36165492098038
YPK_0007	0.120621021268594	2.0498144145136	-4.08694003692988	1.92919339324501	0.487809752198241	-4.51938779194711
YPK_0008	4.8500302311892	2.871614825712	0.756131488783585	1.9784154054772	0.366007194244604	2.11798544493573
YPK_0009	0.566963355622904	3.45425501261354	-2.6070471966885	2.88729165699064	0.459682254196643	-3.89013472752411
YPK_0010	0.120621021268594	2.84293069241277	-4.55882566767357	2.72230967114418	0.639788169464428	-5.30978920615917
YPK_0011	9.88090050909178	2.88334339699203	1.77689986230697	6.99755711209975	0.566596722621903	7.2196384021476
YPK_0012	20.6337777096859	8.10775211586119	1.34763409340663	12.5260255938247	0.561051159072742	12.5983107925969
YPK_0013	2.1416214915501	12.0287373779629	-2.48970978792749	9.88711588641282	0.624750199840128	-10.1957694844214
YPK_0014	0.566963355622904	1.76934329508756	-1.64188659466365	1.20237993946466	0.336081135091926	-2.03506980434658
YPK_0015	NA	NA	NA	NA	NA	0
YPK_0016	11.6271110838941	4.02868501725625	1.52911176596091	7.59842606663784	0.555655475619504	7.75075876820854
YPK_0017	9.97760089683635	5.21709672716025	0.935445781040506	4.7605041696761	0.442645883293365	4.85154189498246
YPK_0018	NA	NA	NA	NA	NA	0
YPK_0019	0.120621021268594	4.56499734760168	-5.24206076154141	4.44437632633309	0.752997601918465	-6.87253097175721
YPK_0020	1.57394204572146	0.61532795220072	1.35495498446469	0.958614093520738	0.3232414068745	1.65977227059085
YPK_0021	0.428909228599672	0.0857272317083878	2.32284689600816	0.343181996891284	0.248101518784972	2.34806123967946
YPK_0022	3.40429227949258	2.59287760440025	0.392800800570509	0.811414675092326	0.191946442845723	0.90149112246545
YPK_0023	13.6992462484736	15.50754613635	-0.178873900776416	1.80829988787638	0.197492006394884	-1.81712530026762
YPK_0024	4.06418780422732	5.7204351001611	-0.493157813620229	1.65624729593378	0.286320943245404	-1.7281087160311
YPK_0025	4.26086054556878	9.72153258733158	-1.19003893673451	5.4606720417628	0.501898481215028	-5.58883993496272
YPK_0026	27.5433144537849	1.43578211645969	4.26179343985846	26.1075323373252	0.798211430855316	26.4530929773534
YPK_0027	13.985095614338	3.1755430876981	2.13881486669717	10.8095525266399	0.621402877697842	11.0191176988084
YPK_0028	2.57638002304629	0.336590730888966	2.93627805751486	2.23978929215732	0.421362909672262	3.6930184002122
YPK_0029	0.771451681189757	0.336590730888966	1.1965803504597	0.434860950300791	0.254096722621902	1.27314908050973
YPK_0030	20.9974524086842	11.4519361803051	0.874622762774721	9.54551622837916	0.459032773780975	9.58550181489804
