baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YPK_0001	5.81129369100251	-0.112127562807621	1.52982572801384	-0.0732943372270224	0.941571897820015	NA
YPK_0002	8.85950677357649	-0.745447664396127	1.15704204318165	-0.644270161822545	0.519400260869067	NA
YPK_0004	28.5133947230686	-0.310566576217982	0.681544652284012	-0.455680453477556	0.648619779823086	0.919508259673652
YPK_0009	1.90674191026177	-1.12758358060569	3.22371507969686	-0.349777679704783	0.726505551228325	NA
YPK_0011	5.97789149859403	-2.81108243747757	1.62649978005454	-1.72830176305545	0.0839341371513518	NA
YPK_0012	13.6043520541747	-1.8877572688856	1.1093761736483	-1.70163855482628	0.0888231453820633	0.579772894402922
YPK_0013	6.88954145846004	2.24340837526391	1.56339290177188	1.43496134127341	0.151298114122772	NA
YPK_0016	7.48879012659643	-1.35838981830403	1.28379125606161	-1.05810801552837	0.290006200522138	NA
YPK_0017	7.24468935849483	-0.388569094571815	1.42842514128391	-0.272026221984975	0.78560185711077	NA
YPK_0019	2.16814852079559	5.67643049553214	2.78892350223585	2.03534822342076	0.0418158471389114	NA
YPK_0023	14.0100151996236	0.157313314866826	0.962998648782082	0.163357773207452	0.870236748310635	0.969321189423226
YPK_0024	4.67862559420884	-0.0409881159574829	1.58341336596684	-0.0258859226772127	0.979348328361574	NA
YPK_0025	6.78366017291597	1.76768718281062	1.40584854341807	1.25738095407689	0.208615722515595	NA
YPK_0026	13.8391175888803	-5.67985268602732	1.78360068879268	-3.18448670810505	0.00145010970313144	0.0578432648249097
YPK_0027	8.33611534143482	-3.33326491451769	1.54390298998071	-2.15898598302432	0.0308512544026571	NA
YPK_0030	15.5100224240708	-0.839560813449548	0.893777983316613	-0.939339331602377	0.347556550861194	0.827049369322115
YPK_0031	4.11520261179059	2.5716577819234	1.75241730229512	1.46749166340422	0.142242355433854	NA
YPK_0035	7.82347684193498	-0.956847131485875	1.26488181658783	-0.756471568282235	0.449366512663917	NA
YPK_0036	7.75328729480937	-0.282977623910067	1.24101479462597	-0.228021152636906	0.819629796223619	NA
YPK_0037	10.7277863878496	-0.230399686324141	1.16457897840447	-0.197839468680603	0.843170664903788	NA
YPK_0038	8.21893732604079	-0.474848716091051	1.28458735140102	-0.369650779741185	0.711642710045948	NA
YPK_0039	4.38538278938081	0.833870169166367	1.71955434368235	0.484933885474459	0.627723244715483	NA
YPK_0041	4.74091212776147	0.227128378316657	1.48712684443307	0.152729660665391	0.878611469339786	NA
YPK_0055	5.8104512723698	0.317327321177813	1.41488256534379	0.224278204389852	0.822540834626937	NA
YPK_0061	3.0273255656359	0.487558870392654	1.92033574412072	0.253892514309208	0.79957859806681	NA
YPK_0067	6.29924265146661	0.734725792363833	1.41794045024745	0.518164068339833	0.604343802259173	NA
YPK_0083	5.15329889184639	-0.0784720466764509	1.58911035438842	-0.0493811184728271	0.960615575078433	NA
YPK_0088	6.45990633026965	-0.993429141946839	1.45165786197444	-0.684341102658757	0.493759797954019	NA
