Geneid,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam
YPK_2218,  11,   2,   4,   0,   0,   0
YPK_2219,   1,   0,   0,   0,   0,   0
YPK_2220,   0,   4,   0,   0,   4,   0
YPK_2221,   2,   6,   0,   0,   4,   0
YPK_2222,   0,   2,   2,   0,   0,   2
YPK_2223,   0,   2,   0,   0,   0,   0
YPK_2224,   0,   2,   0,   0,   0,   0
YPK_2225,   0,   2,   0,   2,   0,   1
YPK_2226,   0,   0,   4,   0,   0,   1
YPK_2227,   0,   0,   0,   0,   0,   0
YPK_2228,   2,   0,   0,   0,   3,   0
YPK_2229,   2,   2,   0,   0,   0,   0
YPK_2230,   0,   0,   0,   0,   0,   0
YPK_2231,   3,   4,   2,   3,   1,   1
YPK_2232,   0,   0,   0,   2,   2,   6
YPK_2233,   2,   8,   2,   0,   0,   0
YPK_2234,   0,   2,   0,   2,   0,   0
YPK_2235,  15,   4,   6,   3,   2,   3
YPK_2236,   0,   0,   0,   2,   0,   1
YPK_2237,   0,   0,   0,   0,   0,   0
YPK_2238,   3,   2,   0,   0,   0,   1
YPK_2239,   3,   8,   0,   2,   2,   4
YPK_2240,   2,   2,   0,   6,   0,   3
YPK_2241,   2,   2,   0,   0,   2,   1
YPK_2242,   0,   2,   2,   4,   0,   2
YPK_2243,   2,   4,   2,   1,   0,   1
YPK_2244,   4,   4,   0,   0,   2,   1
YPK_2245,   0,   1,   2,   0,   0,   0
YPK_2246,   1,   3,   0,   0,   1,   0
YPK_2247,   0,   2,   0,   0,   0,   1
YPK_2248,   1,   0,   0,   0,   2,   1
YPK_2249,   6,   2,   0,   2,   2,   1
YPK_2250,   0,   0,   0,   0,   0,   0
YPK_2251,   0,   0,   0,   0,   0,   0
YPK_2252,   0,   0,   2,   0,   2,   0
YPK_2253,   0,   4,   4,   8,   2,   6
YPK_2254,   0,   2,   2,   0,   2,   0
YPK_2255,   0,   0,   0,   2,   0,   2
YPK_2256,   0,   4,   6,   2,   2,   4
YPK_2257,   2,   0,   0,   0,   2,   0
YPK_2258,   0,   0,   0,   0,   0,   0
YPK_2259,   0,   2,   2,   2,   2,   1
YPK_2260,   0,   2,   8,   4,   0,   2
YPK_2263,   6,   0,   2,   2,   0,   0
YPK_2264,   0,   0,   0,   0,   0,   0
YPK_2265,   0,   0,   0,   0,   0,   0
YPK_2266,   0,   0,   0,   0,   4,   0
YPK_2267,   0,   0,   2,   0,   0,   0
YPK_2268,   0,   0,   0,   0,   3,   0
YPK_2269,   0,   2,   7,   0,   0,   0
YPK_2272,   0,   0,   0,   0,   0,   0
YPK_2273,   0,   0,   0,   0,   0,   0
YPK_2274,   0,   0,   0,   0,   0,   0
YPK_2275,   0,   0,   0,   2,   0,   0
YPK_2276,   0,   0,   0,   2,   0,   1
YPK_2277,   0,   0,   2,   0,   2,   0
YPK_2278,   0,   0,   0,   0,   0,   0
YPK_2279,   0,   0,   0,   0,   2,   0
YPK_2280,   0,   0,   0,   0,   0,   0
YPK_2281,   2,   0,   0,   0,   0,   0
YPK_2282,   0,   0,   0,   0,   0,   0
YPK_2283,   0,   0,   2,   0,   0,   0
YPK_2284,   0,   0,   1,   0,   0,   0
YPK_2285,   0,   0,   0,   0,   0,   0
YPK_2286,   0,   0,   0,   0,   0,   0
YPK_2287,   0,   0,   0,   0,   0,   0
YPK_2288,   0,   0,   0,   0,   0,   0
YPK_2289,   0,   0,   1,   0,   0,   0
YPK_2290,   0,   0,   1,   0,   0,   0
YPK_2291,   2,   1,   0,   0,   0,   0
YPK_2292,   0,   0,   1,   0,   0,   0
YPK_2293,  10,   2,   0,   4,   6,   2
YPK_2294,   3,   3,   8,   5,   2,   5
YPK_2295,   2,   2,   3,   0,   1,   0
YPK_2296,   0,   0,   0,   0,   0,   0
YPK_2297,   0,   0,   0,   0,   0,   0
YPK_2298,   0,   0,   0,   0,   0,   0
YPK_2299,   0,   2,   0,   0,   0,   0
YPK_2300,   0,   0,   0,   0,   0,   0
YPK_2301,   0,   0,   0,   0,   0,   0
YPK_2302,   0,   0,   0,   0,   0,   0
YPK_2303,   0,   0,   2,   0,   0,   0
YPK_2304,   0,   0,   0,   0,   0,   0
YPK_2305,   0,   0,   2,   0,   2,   0
YPK_2306,   6,   0,   0,   0,   0,   1
YPK_2307,   0,   0,   4,   2,   0,   2
YPK_2308,   0,   0,   0,   2,   0,   1
YPK_2309,   4,   2,   6,   0,   5,   1
YPK_2310,   0,   0,   1,   0,   0,   0
YPK_2311,   0,   0,   0,   0,   0,   0
YPK_2312,   0,   0,   0,   0,   0,   0
YPK_2313,   0,   0,   0,   0,   0,   0
YPK_2314,   0,   0,   0,   0,   0,   0
YPK_2315,   0,   0,   0,   0,   0,   0
YPK_2316,   0,   0,   0,   0,   0,   0
YPK_2317,   0,   0,   0,   0,   0,   0
YPK_2318,   0,   0,   0,   0,   0,   0
YPK_2319,   0,   0,   0,   0,   0,   0
YPK_2320,   0,   0,   0,   0,   0,   0
YPK_2321,   0,   0,   0,   0,   0,   0
YPK_2322,   0,   0,   0,   0,   0,   0
YPK_2323,   0,   0,   0,   0,   0,   0
YPK_2324,   0,   0,   0,   0,   0,   0
YPK_2325,   1,   0,   0,   0,   0,   1
YPK_2326,   2,   2,   8,   6,   2,   3
YPK_2327,   0,   2,   0,   2,   2,   1
YPK_2328,   0,   0,   0,   0,   0,   0
YPK_2329,   0,   0,   0,   0,   0,   0
YPK_2330,   0,   0,   0,   0,   0,   0
YPK_2331,   0,   0,   0,   0,   0,   0
YPK_2332,   0,   0,   0,   0,   0,   0
YPK_2333,   0,   0,   0,   0,   0,   0
YPK_2334,   0,   0,   0,   0,   0,   0
YPK_2335,   0,   0,   0,   0,   3,   0
YPK_2336,   0,   0,   0,   2,   0,   1
YPK_2337,   0,   0,   0,   0,   0,   0
YPK_2338,   0,   0,   0,   0,   0,   0
YPK_2339,   0,   0,   0,   0,   0,   0
YPK_2340,   0,   0,   0,   0,   0,   0
